# t (s)	mx ()	my ()	mz ()	m.region21x ()	m.region21y ()	m.region21z ()	m.region22x ()	m.region22y ()	m.region22z ()	m.region23x ()	m.region23y ()	m.region23z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)	points_TOP_wire (No unit)
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.11605746	-0.023071075	-0.0007878396	NaN	NaN	NaN	3.5054347e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.118019626	-0.024147086	-0.0009189776	NaN	NaN	NaN	3.5833332e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.120154485	-0.025374305	-0.0010589845	NaN	NaN	NaN	3.6612317e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.122451805	-0.026766067	-0.0012090866	NaN	NaN	NaN	3.7391305e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.12489538	-0.028336879	-0.0013705599	NaN	NaN	NaN	3.817029e-07	1e-07	276
0	0	-0.2719719	0	-0.7071068	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.12746125	-0.030102376	-0.0015447099	NaN	NaN	NaN	3.8949275e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.13011478	-0.032079235	-0.0017328273	NaN	NaN	NaN	3.972826e-07	1e-07	276
0	0	-0.2719719	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.13280734	-0.034284715	-0.0019361323	NaN	NaN	NaN	4.0507246e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.13547125	-0.03673572	-0.0021556607	NaN	NaN	NaN	4.128623e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.13801362	-0.039446753	-0.0023921407	NaN	NaN	NaN	4.2065219e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.14030807	-0.042425998	-0.0026457822	NaN	NaN	NaN	4.2844204e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.14218368	-0.045667663	-0.002916039	NaN	NaN	NaN	4.362319e-07	1e-07	276
0	0	-0.2719719	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.14341296	-0.04913806	-0.0032013059	NaN	NaN	NaN	4.4402174e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.14370292	-0.052749906	-0.0034986231	NaN	NaN	NaN	4.518116e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.1426984	-0.05632583	-0.0038034054	NaN	NaN	NaN	4.5960144e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.14001362	-0.059552576	-0.0041093817	NaN	NaN	NaN	4.6739132e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.13531636	-0.06196014	-0.0044088163	NaN	NaN	NaN	4.7518117e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.12844767	-0.0629798	-0.0046930644	NaN	NaN	NaN	4.82971e-07	1e-07	276
0	0	-0.2719719	0	-0.7071068	0.7071068	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.119501725	-0.062114246	-0.0049533676	NaN	NaN	NaN	4.907609e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.108781934	-0.059144944	-0.005181722	NaN	NaN	NaN	4.985507e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.09666312	-0.05423673	-0.005371462	NaN	NaN	NaN	5.063406e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.083491415	-0.04789163	-0.0055175945	NaN	NaN	NaN	5.141304e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	-0.069589995	-0.04081174	-0.0056168833	NaN	NaN	NaN	5.219203e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.055319916	-0.0337286	-0.005667931	NaN	NaN	NaN	5.297101e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.041103803	-0.02725308	-0.0056711864	NaN	NaN	NaN	5.375e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.02738169	-0.021778144	-0.0056289216	NaN	NaN	NaN	5.452899e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.014539545	-0.017463248	-0.005545037	NaN	NaN	NaN	5.530797e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.0028526462	-0.014290143	-0.0054246946	NaN	NaN	NaN	5.608696e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.007524216	-0.012139441	-0.005273828	NaN	NaN	NaN	5.686594e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.016537845	-0.010849154	-0.005098647	NaN	NaN	NaN	5.764493e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.02420831	-0.010249956	-0.0049052136	NaN	NaN	NaN	5.842391e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.707107	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.030599995	-0.010185883	-0.0046991436	NaN	NaN	NaN	5.92029e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.03580202	-0.010520487	-0.0044854213	NaN	NaN	NaN	5.9981886e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.7071071	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.039914817	-0.011138289	-0.0042683273	NaN	NaN	NaN	6.076087e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.043041687	-0.011943709	-0.0040514306	NaN	NaN	NaN	6.1539856e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.04528421	-0.012859209	-0.0038376425	NaN	NaN	NaN	6.231884e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.04673946	-0.013823202	-0.0036292546	NaN	NaN	NaN	6.3097826e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.047498554	-0.014788097	-0.0034280485	NaN	NaN	NaN	6.3876814e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.047645915	-0.015718486	-0.0032353501	NaN	NaN	NaN	6.4655796e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.707107	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.047258925	-0.016589534	-0.0030521145	NaN	NaN	NaN	6.5434784e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.046408076	-0.017385408	-0.0028789833	NaN	NaN	NaN	6.6213767e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.045156643	-0.01809789	-0.0027163478	NaN	NaN	NaN	6.6992754e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.043560963	-0.01872501	-0.0025644007	NaN	NaN	NaN	6.7771737e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.04167085	-0.019269848	-0.0024231903	NaN	NaN	NaN	6.8550725e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.039529655	-0.01973943	-0.0022926263	NaN	NaN	NaN	6.932971e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.7071071	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.037174746	-0.020143775	-0.002172554	NaN	NaN	NaN	7.0108695e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.034637935	-0.02049506	-0.0020627514	NaN	NaN	NaN	7.088768e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.03194587	-0.020806996	-0.0019629733	NaN	NaN	NaN	7.1666665e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.029120551	-0.021094278	-0.0018729483	NaN	NaN	NaN	7.244565e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.026179696	-0.021372234	-0.0017924166	NaN	NaN	NaN	7.3224635e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.023137283	-0.021656588	-0.0017211263	NaN	NaN	NaN	7.400362e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.7071071	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.02000369	-0.021963313	-0.0016588632	NaN	NaN	NaN	7.478261e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.70710677	0	0.70710707	-0.707107	0	-0.7071071	-0.7071071	0	0	0	0	0.016786544	-0.0223086	-0.0016054438	NaN	NaN	NaN	7.5561593e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.013490373	-0.022708932	-0.0015607387	NaN	NaN	NaN	7.634058e-07	1e-07	276
0	0	-0.2719719	0	-0.70710677	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.010117789	-0.023181189	-0.0015246628	NaN	NaN	NaN	7.7119563e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.006668819	-0.02374289	-0.0014972015	NaN	NaN	NaN	7.789855e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	0.003142076	-0.024412388	-0.0014784037	NaN	NaN	NaN	7.867754e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.70710677	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.0004655578	-0.025209248	-0.0014684038	NaN	NaN	NaN	7.945652e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.0041584293	-0.026154565	-0.0014674035	NaN	NaN	NaN	8.023551e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.007941635	-0.027271427	-0.001475707	NaN	NaN	NaN	8.101449e-07	1e-07	276
0	0	-0.27197188	0	-0.70710677	0.70710677	0	0.707107	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.011820981	-0.028585337	-0.0014937026	NaN	NaN	NaN	8.179348e-07	1e-07	276
0	0	-0.27197188	0	-0.7071068	0.7071068	0	0.70710707	-0.70710707	0	-0.7071071	-0.7071071	0	0	0	0	-0.015802324	-0.030124785	-0.0015218838	NaN	NaN	NaN	8.257246e-07	1e-07	276
