x,Bx_average
-1.48e-07,-126.591898011305
-1.46e-07,-124.24614832315
-1.44e-07,-121.908862582015
-1.42e-07,-119.589866961502
-1.4e-07,-117.297177179545
-1.38e-07,-115.037198193763
-1.36e-07,-112.815061245818
-1.34e-07,-110.634721502141
-1.32e-07,-108.499331317509
-1.3e-07,-106.411264841643
-1.28e-07,-104.3723039193
-1.26e-07,-102.383627048226
-1.24e-07,-100.44607005127
-1.22e-07,-98.5600819971848
-1.2e-07,-96.7258410408211
-1.18e-07,-94.9432020060876
-1.16e-07,-93.2118958387872
-1.14e-07,-91.5314609496447
-1.12e-07,-89.9013231897623
-1.1e-07,-88.3207299210599
-1.08e-07,-86.7889110453253
-1.06e-07,-85.3050043348302
-1.04e-07,-83.8681149041954
-1.02e-07,-82.4772476533656
